mlb_playerID,kbo_playerID,npb_playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast,mlb_birthCountry,mlb_weight,mlb_height,mlb_bats,mlb_throws,mlb_nameFirst,mlb_nameLast,npb_birthCountry,npb_weight,npb_height,npb_bats,npb_throws,npb_nameFirst,npb_nameLast,kbo_birthCountry,kbo_weight,kbo_height,kbo_bats,kbo_throws,kbo_nameFirst,kbo_nameLast
gullibi01,,103768,1959,2,20,Bill,Gullickson,USA,200,75,R,R,Bill,Gullickson,United States,201,75,R,R,Bill,Gullickson,,,,,,,
guzmado01,,105001,1975,4,5,Domingo,Guzman,D.R.,210,72,R,R,Domingo,Guzman,Dominican Republic,209,72,R,R,Domingo,Guzman,,,,,,,
guzmaje01,,106264,1984,6,14,Jesus,Guzman,Venezuela,200,73,R,R,Jesus,Guzman,Venezuela,201,73,R,R,Jesus,Guzman,,,,,,,
guzmajo03,,105849,1984,11,24,Joel,Guzman,D.R.,225,79,R,R,Joel,Guzman,Dominican Republic,249,77,R,R,Joel,Guzman,,,,,,,
gwynma01,,105558,1977,11,4,Marcus,Gwyn,USA,215,75,R,R,Marcus,Gwyn,United States,216,74,R,R,Marcus,Gwyn,,,,,,,
hackeer01,63938,,1983,3,26,Eric,Hacker,USA,230,73,B,R,Eric,Hacker,,,,,,,,United States,229,73,R,R,Eric,Hacker
hackmlu01,75444,,1974,10,10,Luther,Hackman,USA,195,76,R,R,Luther,Hackman,,,,,,,,United States,196,76,R,R,Luther,Hackman
hadleke01,,101925,1934,12,17,Kent,Hadley,USA,190,75,L,L,Kent,Hadley,United States,190,75,L,L,Kent,Hadley,,,,,,,
hagenbr01,,106414,1989,5,12,Bradin,Hagens,USA,210,75,R,R,Bradin,Hagens,United States,209,75,R,R,Bradin,Hagens,,,,,,,
haguema01,,106361,1985,8,20,Matt,Hague,USA,225,75,R,R,Matt,Hague,United States,225,75,R,R,Matt,Hague,,,,,,,
haleda02,68794,,1987,9,27,David,Hale,USA,210,74,R,R,David,Hale,,,,,,,,United States,0,0,R,R,David,Hale
haleyju01,69435,,1991,6,16,Justin,Haley,USA,230,77,L,R,Justin,Haley,,,,,,,,United States,231,77,R,R,Justin,Haley
hallme01,,104171,1960,9,16,Mel,Hall,USA,185,72,L,L,Mel,Hall,United States,185,72,L,L,Mel,Hall,,,,,,,
hammost01,,103695,1957,5,9,Steve,Hammond,USA,190,74,L,R,Steve,Hammond,United States,190,74,L,R,Steve,Hammond,,,,,,,
hamptik01,,103231,1951,8,22,Ike,Hampton,USA,185,73,B,R,Ike,Hampton,United States,185,73,B,R,Ike,Hampton,,,,,,,
hancoju01,,106745,1990,10,28,Justin,Hancock,USA,185,76,R,R,Justin,Hancock,United States,183,76,R,R,Justin,Hancock,,,,,,,
haneych01,,104881,1968,11,16,Chris,Haney,USA,185,75,L,L,Chris,Haney,United States,185,75,L,L,Chris,Haney,,,,,,,
hannaja01,65104,,1980,3,4,Jack,Hannahan,USA,210,74,L,R,Jack,Hannahan,,,,,,,,United States,201,74,L,R,Jack,Hannahan
hansebo01,,103004,1948,5,26,Bob,Hansen,USA,195,72,L,L,Bob,Hansen,United States,194,72,L,L,Bob,Hansen,,,,,,,
hanseda01,,104599,1968,11,24,Dave,Hansen,USA,180,72,L,R,Dave,Hansen,United States,181,72,L,R,Dave,Hansen,,,,,,,
hansegr01,,104784,1971,3,12,Greg,Hansell,USA,213,77,R,R,Greg,Hansell,United States,214,77,R,R,Greg,Hansell,,,,,,,
hardtja01,,104789,1971,9,15,Jason,Hardtke,USA,175,70,B,R,Jason,Hardtke,United States,174,70,B,R,Jason,Hardtke,,,,,,,
haresh01,80614,,1967,3,26,Shawn,Hare,USA,190,74,L,L,Shawn,Hare,,,,,,,,United States,0,0,L,L,Shawn,Hare
harikti01,75443,,1971,7,15,Tim,Harikkala,USA,185,74,R,R,Tim,Harikkala,,,,,,,,United States,187,74,R,R,Tim,Harikkala
harlola01,,103308,1951,11,13,Larry,Harlow,USA,185,74,L,L,Larry,Harlow,United States,185,74,L,L,Larry,Harlow,,,,,,,
harpete01,,103762,1955,8,19,Terry,Harper,USA,195,76,R,R,Terry,Harper,United States,194,76,R,R,Terry,Harper,,,,,,,
harrelu01,65137,,1985,6,3,Lucas,Harrell,USA,205,74,B,R,Lucas,Harrell,,,,,,,,United States,201,74,R,R,Lucas,Harrell
harride01,70143,,1969,7,21,Denny,Harriger,USA,185,71,R,R,Denny,Harriger,,,,,,,,United States,181,71,R,R,Denny,Harriger
harrivi01,,103228,1950,3,27,Vic,Harris,USA,165,71,B,R,Vic,Harris,United States,165,71,B,R,Vic,Harris,,,,,,,
hartgde01,,104673,1966,8,12,Dean,Hartgraves,USA,185,72,R,L,Dean,Hartgraves,United States,185,72,R,L,Dean,Hartgraves,,,,,,,
hartky01,54930,,1992,11,23,Kyle,Hart,USA,200,77,L,L,Kyle,Hart,,,,,,,,United States,198,77,L,L,Kyle,Hart
hartlmi01,,104250,1961,8,31,Mike,Hartley,USA,192,73,R,R,Mike,Hartley,United States,192,73,R,R,Mike,Hartley,,,,,,,
hasegsh01,,104065,1968,8,1,Shigetoshi,Hasegawa,Japan,160,71,R,R,Shigetoshi,Hasegawa,Japan,161,71,R,R,Shigetoshi,Hasegawa,,,,,,,
hatchch01,72553,,1969,1,7,Chris,Hatcher,USA,220,75,R,R,Chris,Hatcher,,,,,,,,United States,231,73,R,R,Chris,Hatcher
hazelje01,69605,,1987,8,14,Jeremy,Hazelbaker,USA,190,75,L,R,Jeremy,Hazelbaker,,,,,,,,United States,190,75,L,R,Jeremy,Hazelbaker
healyry01,51725,,1992,1,10,Ryon,Healy,USA,230,76,R,R,Ryon,Healy,,,,,,,,United States,229,77,R,R,Ryon,Healy
hearnta01,,73975159,1994,8,30,Taylor,Hearn,USA,230,78,L,L,Taylor,Hearn,0,258,78,L,L,Taylor,Hearn,,,,,,,
heathde01,,106243,1985,8,8,Deunte,Heath,USA,240,76,R,R,Deunte,Heath,United States,247,76,R,R,Deunte,Heath,,,,,,,
hechaad01,,107004,1989,4,15,Adeiny,Hechavarria,Cuba,195,72,R,R,Adeiny,Hechavarria,Cuba,198,72,R,R,Adeiny,Hechavarria,,,,,,,
heinesc01,,107044,1992,12,4,Scott,Heineman,USA,220,73,R,R,Scott,Heineman,United States,218,73,R,R,Scott,Heineman,,,,,,,
hellwjo01,,106718,1988,10,29,Johnny,Hellweg,USA,220,80,R,R,Johnny,Hellweg,United States,234,79,R,R,Johnny,Hellweg,,,,,,,
hengeda01,,103936,1961,12,18,Dave,Hengel,USA,185,72,R,R,Dave,Hengel,United States,185,72,R,R,Dave,Hengel,,,,,,,
hennse01,62731,,1981,4,23,Sean,Henn,USA,235,75,R,L,Sean,Henn,,,,,,,,United States,236,75,R,L,Sean,Henn
