npbbID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
346,100054,1937.1S,1,JBL,SENATORS,43,124,17,30,7,2,1,20,2,,24,5,,,44,0.242,0.355,,,,
347,100054,1937.2F,1,JBL,SENATORS,11,22,2,6,1,0,0,2,1,,4,2,,,7,0.273,0.318,,,,
348,100054,1938.1S,1,JBL,SENATORS,35,131,17,32,4,0,0,14,6,,15,3,,,36,0.244,0.275,,,,
349,100054,1938.2F,1,JBL,SENATORS,30,96,11,22,3,0,0,12,4,,16,4,,,25,0.229,0.26,,,,
350,100054,1939,1,JBL,SENATORS,16,57,6,15,3,0,0,4,4,,11,4,,69.0,18,0.263,0.316,0.382,0.698,0.159,0.058
351,100054,1943,1,JBL,NISHITETSU,12,21,0,5,0,0,0,0,0,0.0,3,2,,,5,0.238,0.238,,,,
352,100055,1936.1S,1,JBL,KINKO,11,37,3,4,0,1,0,10,0,,7,8,,,6,0.108,0.162,,,,
353,100055,1936.2F,1,JBL,KINKO,23,74,9,14,1,1,0,6,4,,5,11,,,17,0.189,0.23,,,,
354,100055,1937.1S,1,JBL,OSAKA,16,36,6,6,3,1,0,4,0,,9,6,,,11,0.167,0.306,,,,
355,100055,1937.2F,1,JBL,OSAKA,18,21,2,2,2,0,0,4,0,,9,4,,,4,0.095,0.19,,,,
356,100055,1938.1S,1,JBL,OSAKA,7,11,2,2,0,0,1,2,0,,1,0,,,5,0.182,0.455,,,,
357,100055,1939,1,JBL,OSAKA,15,34,5,5,0,0,0,0,0,,8,7,,42.0,5,0.147,0.147,0.31,0.457,0.19,0.167
358,100055,1940,1,JBL,LION,86,238,8,40,10,3,0,16,1,,40,59,,284.0,56,0.168,0.235,0.29,0.526,0.141,0.208
359,100055,1941,1,JBL,ASAHI,45,102,9,24,6,0,0,5,2,,22,20,,,30,0.235,0.294,,,,
360,100055,1942,1,JBL,ASAHI,105,341,12,42,8,1,1,16,8,1.0,41,69,,,55,0.123,0.161,,,,
361,100055,1943,1,JBL,ASAHI,44,131,7,21,0,0,0,2,1,0.0,16,25,,,21,0.16,0.16,,,,
362,100055,1944,1,JBL,ASAHI,15,37,2,9,1,0,0,3,0,0.0,5,4,,,10,0.243,0.27,,,,
363,100056,1936.1S,1,JBL,KINKO,4,5,0,0,0,0,0,0,0,,0,1,,,0,0.0,0.0,,,,
364,100056,1936.2F,1,JBL,KINKO,10,11,2,3,1,0,0,0,2,,1,2,,,4,0.273,0.364,,,,
365,100056,1937.1S,1,JBL,SENATORS,8,10,3,1,0,0,0,0,0,,2,2,,,1,0.1,0.1,,,,
366,100056,1937.2F,1,JBL,SENATORS,12,11,0,2,0,1,0,1,0,,2,2,,,4,0.182,0.364,,,,
367,100056,1938.1S,1,JBL,SENATORS,18,37,1,7,1,0,0,5,0,,1,2,,,8,0.189,0.216,,,,
368,100056,1938.2F,1,JBL,SENATORS,24,55,5,11,4,0,0,5,0,,5,4,,,15,0.2,0.273,,,,
369,100056,1939,1,JBL,SENATORS,31,58,6,10,2,0,0,2,1,,4,10,,64.0,12,0.172,0.207,0.226,0.433,0.062,0.156
370,100056,1940,1,JBL,TSUBASA,24,34,2,7,2,0,0,3,0,,1,5,,35.0,9,0.206,0.265,0.229,0.493,0.029,0.143
371,100056,1941,1,JBL,KUROWASHI,20,29,1,5,1,0,0,2,0,,2,2,,,6,0.172,0.207,,,,
372,100056,1942,1,JBL,YAMATO,65,195,14,45,5,4,0,13,6,0.0,23,20,,,58,0.231,0.297,,,,
373,100056,1943,1,JBL,YAMATO,81,281,20,46,6,2,0,18,7,0.0,43,20,,,56,0.164,0.199,,,,
