npbbID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
3367,100647,1955,1,CL,CHUNICHI,31,37,4,6,0,0,0,1,1,1.0,5,11,0.0,43.0,6,0.162,0.162,0.262,0.424,0.116,0.256
3368,100648,1948,1,JBL,KYUEI,7,13,3,3,1,0,0,2,0,0.0,1,4,,,4,0.231,0.308,,,,
3369,100648,1949,1,JBL,TOKYU,47,108,5,20,2,3,2,8,0,1.0,4,28,,,34,0.185,0.315,,,,
3370,100648,1950,1,CL,TAIYO,43,78,6,20,2,1,1,6,1,0.0,7,22,0.0,,27,0.256,0.346,,,,
3371,100648,1951,1,CL,TAIYO,29,45,7,9,2,0,1,4,0,0.0,3,16,1.0,,14,0.2,0.311,,,,
3372,100648,1952,1,CL,SHOCHIKU,44,69,4,12,3,0,0,2,0,1.0,5,21,2.0,,15,0.174,0.217,,,,
3373,100648,1953,1,CL,HIROSHIMA,29,44,2,8,2,0,1,4,0,0.0,7,11,0.0,,13,0.182,0.295,,,,
3374,100648,1954,1,CL,HIROSHIMA,28,40,0,7,2,0,0,1,0,0.0,3,15,0.0,45.0,9,0.175,0.225,0.233,0.458,0.067,0.333
3375,100648,1955,1,CL,HIROSHIMA,21,24,2,4,1,0,1,3,0,0.0,2,11,0.0,29.0,8,0.167,0.333,0.231,0.564,0.069,0.379
3376,100649,1948,1,JBL,KINSEI,16,19,2,4,1,1,0,0,0,0.0,1,5,,,7,0.211,0.368,,,,
3377,100649,1949,1,JBL,DAIEI,19,29,6,3,1,0,0,0,0,0.0,2,9,,,4,0.103,0.138,,,,
3378,100649,1950,1,PL,DAIEI,27,35,4,10,2,0,0,2,0,0.0,0,5,1.0,,12,0.286,0.343,,,,
3379,100649,1951,1,PL,DAIEI,22,14,3,0,0,0,0,0,0,0.0,1,4,0.0,,0,0.0,0.0,,,,
3380,100650,1948,1,JBL,OSAKA,10,9,2,2,0,0,0,0,0,0.0,0,3,,,2,0.222,0.222,,,,
3381,100651,1948,1,JBL,OSAKA,140,511,46,129,20,3,5,36,27,6.0,15,20,,,170,0.252,0.333,,,,
3382,100651,1949,1,JBL,OSAKA,125,473,87,142,16,4,10,40,29,12.0,20,18,,,196,0.3,0.414,,,,
3383,100651,1950,1,CL,OSAKA,112,475,91,153,24,5,15,79,17,14.0,16,18,9.0,,232,0.322,0.488,,,,
3384,100651,1951,1,CL,OSAKA,116,502,77,155,23,2,13,75,14,7.0,20,24,22.0,,221,0.309,0.44,,,,
3385,100651,1952,1,CL,OSAKA,120,536,75,161,28,6,3,34,19,15.0,25,16,18.0,,210,0.3,0.392,,,,
3386,100651,1953,1,CL,OSAKA,96,322,33,89,13,3,3,40,4,6.0,10,12,13.0,,117,0.276,0.363,,,,
3387,100651,1955,1,CL,OSAKA,69,156,6,35,5,0,1,15,0,2.0,1,16,5.0,158.0,43,0.224,0.276,0.228,0.503,0.006,0.101
3388,100651,1956,1,CL,OSAKA,87,147,1,27,1,0,0,15,0,3.0,8,19,6.0,160.0,28,0.184,0.19,0.228,0.418,0.05,0.119
3389,100651,1957,1,CL,OSAKA,84,138,8,32,2,0,1,21,3,2.0,9,17,7.0,151.0,37,0.232,0.268,0.278,0.546,0.06,0.113
3390,100652,1948,1,JBL,OSAKA,6,5,1,0,0,0,0,0,0,0.0,1,2,,,0,0.0,0.0,,,,
3391,100652,1949,1,JBL,OSAKA,6,5,0,0,0,0,0,0,0,0.0,1,2,,,0,0.0,0.0,,,,
3392,100652,1950,1,CL,OSAKA,33,60,3,11,2,0,0,5,1,0.0,3,8,1.0,,13,0.183,0.217,,,,
3393,100652,1951,1,CL,OSAKA,84,181,15,44,8,1,2,19,0,1.0,11,28,5.0,,60,0.243,0.331,,,,
3394,100652,1952,1,CL,OSAKA,90,162,13,35,7,1,2,22,0,0.0,4,25,5.0,,50,0.216,0.309,,,,
3395,100652,1953,1,CL,OSAKA,94,129,10,29,6,0,3,23,1,1.0,10,25,6.0,,44,0.225,0.341,,,,
3396,100652,1954,1,CL,OSAKA,72,106,9,31,4,0,3,15,0,0.0,5,25,1.0,112.0,44,0.292,0.415,0.321,0.737,0.045,0.223
3397,100652,1955,1,CL,OSAKA,104,190,15,53,9,1,4,28,1,0.0,8,40,5.0,201.0,76,0.279,0.4,0.305,0.705,0.04,0.199
3398,100652,1956,1,CL,KOKUTETSU,97,243,17,51,8,2,2,16,2,3.0,12,41,5.0,260.0,69,0.21,0.284,0.253,0.537,0.046,0.158
3399,100652,1957,1,CL,KOKUTETSU,88,197,14,38,6,0,4,19,0,0.0,17,37,5.0,221.0,56,0.193,0.284,0.259,0.544,0.077,0.167
3400,100652,1958,1,CL,KOKUTETSU,53,96,4,20,2,1,1,11,1,1.0,7,20,1.0,107.0,27,0.208,0.281,0.269,0.55,0.065,0.187
3401,100652,1959,1,CL,KOKUTETSU,48,77,5,13,0,1,0,6,1,0.0,6,16,3.0,85.0,15,0.169,0.195,0.226,0.421,0.071,0.188
3402,100652,1960,1,CL,KOKUTETSU,48,60,6,14,1,0,1,6,0,0.0,3,15,1.0,66.0,18,0.233,0.3,0.27,0.57,0.045,0.227
3403,100653,1948,1,JBL,NANKAI,140,504,58,119,14,7,4,54,34,12.0,23,44,,,159,0.236,0.315,,,,
3404,100653,1949,1,JBL,NANKAI,135,524,69,159,18,9,7,54,59,13.0,23,37,,,216,0.303,0.412,,,,
3405,100653,1950,1,PL,NANKAI,116,481,94,145,14,8,8,47,78,8.0,23,19,11.0,,199,0.301,0.414,,,,
3406,100653,1951,1,PL,NANKAI,104,421,78,130,17,5,1,34,55,7.0,13,16,2.0,,160,0.309,0.38,,,,
3407,100653,1952,1,PL,NANKAI,115,454,78,127,20,3,8,41,55,11.0,13,35,6.0,,177,0.28,0.39,,,,
3408,100653,1953,1,PL,NANKAI,91,343,55,82,14,1,2,23,44,6.0,19,21,6.0,,104,0.239,0.303,,,,
3409,100653,1954,1,PL,NANKAI,115,443,53,112,11,7,7,30,37,16.0,21,29,3.0,479.0,158,0.253,0.357,0.287,0.644,0.044,0.061
3410,100653,1955,1,PL,NANKAI,122,386,53,96,6,4,2,21,38,7.0,22,39,3.0,421.0,116,0.249,0.301,0.292,0.592,0.052,0.093
3411,100653,1956,1,PL,NANKAI,133,427,52,108,10,3,1,27,34,8.0,22,45,6.0,470.0,127,0.253,0.297,0.29,0.588,0.047,0.096
3412,100653,1957,1,PL,KINTETSU,116,392,43,81,11,4,1,22,30,17.0,24,54,7.0,431.0,103,0.207,0.263,0.255,0.518,0.056,0.125
3413,100653,1958,1,PL,KINTETSU,88,251,22,52,4,2,1,6,14,9.0,9,37,7.0,268.0,63,0.207,0.251,0.24,0.491,0.034,0.138
3414,100653,1959,1,PL,KINTETSU,13,21,2,5,1,0,0,1,1,0.0,1,6,0.0,23.0,6,0.238,0.286,0.273,0.558,0.043,0.261
3415,100654,1948,1,JBL,NANKAI,10,4,0,0,0,0,0,0,0,0.0,0,0,,,0,0.0,0.0,,,,
3416,100654,1949,1,JBL,NANKAI,22,29,4,7,3,0,2,3,0,0.0,0,10,,,16,0.241,0.552,,,,
3417,100654,1950,1,PL,NANKAI,24,34,2,8,2,0,1,3,0,0.0,0,6,0.0,,13,0.235,0.382,,,,
3418,100654,1951,1,PL,NANKAI,17,11,0,4,1,0,0,2,0,0.0,0,1,0.0,,5,0.364,0.455,,,,
3419,100654,1952,1,PL,TOKYU,30,48,1,8,1,1,0,1,0,0.0,3,4,1.0,,11,0.167,0.229,,,,
3420,100654,1953,1,PL,TOKYU,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,0,,,,,,
3421,100655,1948,1,JBL,KINSEI,38,70,2,15,3,0,0,3,0,1.0,1,12,,,18,0.214,0.257,,,,
3422,100655,1949,1,JBL,DAIEI,38,43,5,7,1,0,1,6,0,0.0,2,10,,,11,0.163,0.256,,,,
3423,100655,1950,1,PL,DAIEI,76,194,11,46,6,0,2,16,0,0.0,7,38,1.0,,58,0.237,0.299,,,,
3424,100655,1951,1,PL,DAIEI,20,34,1,5,1,0,0,1,0,0.0,1,6,1.0,,6,0.147,0.176,,,,
3425,100656,1948,1,JBL,KINSEI,1,1,0,0,0,0,0,0,0,0.0,0,0,,,0,0.0,0.0,,,,
3426,100656,1950,1,PL,DAIEI,31,42,8,9,0,0,1,5,1,1.0,2,9,0.0,,12,0.214,0.286,,,,
3427,100657,1948,1,JBL,NANKAI,4,4,0,2,0,1,0,2,0,0.0,0,1,,,4,0.5,1.0,,,,
3428,100658,1948,1,JBL,TAIYO,2,4,0,1,0,0,0,0,0,0.0,0,2,,,1,0.25,0.25,,,,
3429,100658,1949,1,JBL,TAIYO,23,38,5,10,0,3,0,5,0,0.0,4,12,,,16,0.263,0.421,,,,
3430,100659,1948,1,JBL,YOMIURI,11,14,0,0,0,0,0,0,0,0.0,1,7,,,0,0.0,0.0,,,,
3431,100659,1950,1,CL,NISHI NIPPON,132,473,62,120,18,3,18,73,2,3.0,27,71,7.0,,198,0.254,0.419,,,,
3432,100659,1951,1,PL,NISHITETSU,99,337,50,96,25,1,16,59,5,1.0,27,52,8.0,,171,0.285,0.507,,,,
3433,100659,1952,1,PL,NISHITETSU,94,358,55,93,15,1,21,59,6,3.0,24,45,9.0,,173,0.26,0.483,,,,
3434,100659,1953,1,PL,NISHITETSU,119,457,61,126,22,6,14,72,9,6.0,32,63,9.0,,202,0.276,0.442,,,,
3435,100659,1954,1,PL,NISHITETSU,139,493,68,136,27,3,27,87,19,12.0,71,106,6.0,577.0,250,0.276,0.507,0.369,0.876,0.123,0.184
3436,100659,1955,1,PL,NISHITETSU,134,456,67,136,28,6,14,66,11,4.0,37,95,8.0,501.0,218,0.298,0.478,0.353,0.831,0.074,0.19
3437,100659,1956,1,PL,NISHITETSU,150,466,55,119,25,13,13,73,3,6.0,24,64,10.0,504.0,209,0.255,0.448,0.293,0.741,0.048,0.127
3438,100659,1957,1,PL,NISHITETSU,116,367,41,110,17,8,12,65,3,7.0,39,48,9.0,418.0,179,0.3,0.488,0.364,0.852,0.093,0.115
3439,100659,1958,1,PL,NISHITETSU,125,439,54,121,23,1,16,77,8,8.0,33,73,16.0,481.0,194,0.276,0.442,0.326,0.768,0.069,0.152
3440,100659,1959,1,PL,NISHITETSU,120,318,24,69,10,0,2,25,4,0.0,18,43,13.0,344.0,85,0.217,0.267,0.256,0.523,0.052,0.125
3441,100659,1960,1,PL,NISHITETSU,106,344,43,90,18,1,9,34,0,0.0,22,65,10.0,374.0,137,0.262,0.398,0.305,0.704,0.059,0.174
3442,100659,1961,1,PL,NISHITETSU,79,185,13,37,7,1,2,27,0,2.0,15,28,7.0,204.0,52,0.2,0.281,0.261,0.542,0.074,0.137
3443,100659,1962,1,PL,HANKYU,70,171,12,39,5,3,1,13,3,0.0,11,33,6.0,185.0,53,0.228,0.31,0.281,0.591,0.059,0.178
3444,100659,1963,1,PL,HANKYU,38,38,1,6,0,0,1,1,0,0.0,2,7,2.0,40.0,9,0.158,0.237,0.2,0.437,0.05,0.175
3445,100660,1948,1,JBL,CHUNICHI,134,375,37,87,14,2,11,44,4,4.0,27,86,,,138,0.232,0.368,,,,
3446,100660,1949,1,JBL,CHUNICHI,128,475,67,124,18,4,31,64,2,5.0,28,69,,,243,0.261,0.512,,,,
3447,100660,1950,1,CL,CHUNICHI,128,457,67,110,17,3,21,63,19,4.0,36,67,7.0,,196,0.241,0.429,,,,
3448,100660,1951,1,CL,NAGOYA,97,370,66,107,17,7,18,58,16,10.0,27,43,10.0,,192,0.289,0.519,,,,
3449,100660,1952,1,CL,NAGOYA,99,360,68,110,29,5,27,84,11,8.0,52,53,11.0,,230,0.306,0.639,,,,
3450,100660,1953,1,CL,NAGOYA,104,378,54,107,20,3,16,70,13,7.0,38,45,6.0,,181,0.283,0.479,,,,
3451,100660,1954,1,CL,CHUNICHI,129,473,71,129,26,3,28,91,11,12.0,54,78,20.0,539.0,245,0.273,0.518,0.348,0.866,0.1,0.145
3452,100660,1955,1,CL,CHUNICHI,118,450,52,109,24,4,19,67,9,11.0,23,79,12.0,479.0,198,0.242,0.44,0.278,0.718,0.048,0.165
3453,100660,1956,1,CL,CHUNICHI,108,346,31,74,16,2,11,41,5,4.0,21,53,5.0,370.0,127,0.214,0.367,0.262,0.629,0.057,0.143
3454,100660,1957,1,CL,CHUNICHI,122,427,34,79,17,3,12,44,4,8.0,29,91,7.0,463.0,138,0.185,0.323,0.241,0.564,0.063,0.197
3455,100660,1958,1,CL,CHUNICHI,96,313,20,81,12,2,9,41,7,5.0,17,50,6.0,336.0,124,0.259,0.396,0.299,0.695,0.051,0.149
3456,100660,1959,1,CL,KOKUTETSU,29,67,4,10,2,0,2,9,0,1.0,7,14,4.0,77.0,18,0.149,0.269,0.23,0.498,0.091,0.182
3457,100660,1960,1,PL,KINTETSU,99,271,22,57,10,1,4,22,4,4.0,18,61,5.0,295.0,81,0.21,0.299,0.266,0.565,0.061,0.207
3458,100661,1948,1,JBL,KINSEI,17,46,0,6,1,0,0,0,0,0.0,0,8,,,7,0.13,0.152,,,,
3459,100661,1949,1,JBL,TAIYO,16,34,4,8,3,0,0,3,0,0.0,2,1,,,11,0.235,0.324,,,,
3460,100661,1950,1,CL,SHOCHIKU,11,12,0,1,0,0,0,0,0,0.0,1,1,0.0,,1,0.083,0.083,,,,
3461,100661,1951,1,CL,SHOCHIKU,55,115,14,28,5,0,2,15,0,0.0,3,16,1.0,,39,0.243,0.339,,,,
3462,100661,1952,1,CL,SHOCHIKU,50,117,8,22,0,0,0,4,0,0.0,4,19,1.0,,22,0.188,0.188,,,,
3463,100661,1953,1,CL,YOSHO,13,12,0,1,0,0,0,0,0,0.0,1,4,0.0,,1,0.083,0.083,,,,
3464,100661,1954,1,CL,YOSHO,21,31,1,4,0,0,0,0,0,0.0,0,6,1.0,32.0,4,0.129,0.129,0.129,0.258,0.0,0.188
3465,100661,1955,1,CL,TAIYO,27,37,1,3,1,0,0,1,0,0.0,0,4,0.0,39.0,4,0.081,0.108,0.081,0.189,0.0,0.103
3466,100661,1956,1,CL,TAIYO,36,51,3,6,1,0,0,0,0,0.0,2,12,1.0,59.0,7,0.118,0.137,0.151,0.288,0.034,0.203
3467,100661,1957,1,CL,TAIYO,25,19,1,3,0,0,0,0,0,0.0,0,3,0.0,21.0,3,0.158,0.158,0.158,0.316,0.0,0.143
3468,100661,1958,1,PL,KINTETSU,14,9,0,1,0,0,0,0,0,0.0,1,0,0.0,10.0,1,0.111,0.111,0.2,0.311,0.1,0.0
3469,100662,1948,1,JBL,OSAKA,34,42,6,12,1,0,0,3,0,1.0,2,2,,,13,0.286,0.31,,,,
3470,100663,1948,1,JBL,CHUNICHI,2,1,0,0,0,0,0,0,0,0.0,0,0,,,0,0.0,0.0,,,,
3471,100664,1948,1,JBL,KYUEI,23,32,2,7,0,0,0,0,0,0.0,4,4,,,7,0.219,0.219,,,,
3472,100664,1949,1,JBL,DAIEI,80,132,20,35,5,1,1,17,2,2.0,8,19,,,45,0.265,0.341,,,,
3473,100664,1950,1,PL,DAIEI,117,433,64,108,25,3,8,47,14,2.0,44,50,8.0,,163,0.249,0.376,,,,
3474,100664,1951,1,PL,DAIEI,64,229,20,56,9,2,2,21,2,2.0,12,25,1.0,,75,0.245,0.328,,,,
3475,100664,1952,1,PL,DAIEI,73,235,23,59,13,1,5,34,6,4.0,16,20,1.0,,89,0.251,0.379,,,,
3476,100664,1953,1,PL,DAIEI,119,450,60,125,21,3,7,48,7,8.0,57,43,2.0,,173,0.278,0.384,,,,
3477,100664,1954,1,PL,DAIEI,117,434,50,123,26,6,7,39,12,7.0,58,43,9.0,495.0,182,0.283,0.419,0.368,0.787,0.117,0.087
3478,100664,1955,1,PL,DAIEI,125,418,41,99,19,3,1,30,9,13.0,65,43,7.0,490.0,127,0.237,0.304,0.346,0.649,0.133,0.088
3479,100664,1956,1,PL,DAIEI,107,278,23,66,11,0,1,28,2,3.0,41,25,1.0,325.0,80,0.237,0.288,0.34,0.627,0.126,0.077
3480,100664,1957,1,PL,HANKYU,71,131,8,43,10,0,0,19,3,5.0,9,14,1.0,142.0,53,0.328,0.405,0.366,0.771,0.063,0.099
3481,100664,1958,1,PL,HANKYU,87,263,29,72,12,2,5,30,5,7.0,30,29,6.0,298.0,103,0.274,0.392,0.354,0.745,0.101,0.097
3482,100664,1959,1,PL,HANKYU,112,350,34,92,15,5,2,38,7,7.0,38,37,8.0,391.0,123,0.263,0.351,0.338,0.689,0.097,0.095
3483,100664,1960,1,PL,HANKYU,84,249,24,70,11,4,1,27,2,2.0,28,25,3.0,281.0,92,0.281,0.369,0.357,0.727,0.1,0.089
3484,100664,1961,1,PL,HANKYU,80,162,8,26,10,0,2,20,3,4.0,17,31,6.0,182.0,42,0.16,0.259,0.253,0.512,0.093,0.17
3485,100664,1962,1,CL,HANSHIN,55,67,1,10,1,0,0,6,0,1.0,6,14,2.0,73.0,11,0.149,0.164,0.219,0.383,0.082,0.192
3486,100665,1948,1,JBL,KYUEI,29,67,8,11,3,0,0,1,0,0.0,4,7,,,14,0.164,0.209,,,,
3487,100665,1949,1,JBL,TOKYU,104,295,30,84,15,3,1,18,4,4.0,20,16,,,108,0.285,0.366,,,,
3488,100665,1950,1,PL,TOKYU,101,389,72,110,20,2,8,45,16,5.0,37,24,5.0,,158,0.283,0.406,,,,
3489,100665,1951,1,PL,TOKYU,102,414,59,105,17,3,4,21,21,12.0,31,22,3.0,,140,0.254,0.338,,,,
3490,100665,1952,1,PL,TOKYU,103,395,54,87,10,3,1,31,16,8.0,45,28,4.0,,106,0.22,0.268,,,,
3491,100665,1953,1,PL,TOKYU,116,422,49,105,17,1,1,19,26,8.0,55,26,10.0,,127,0.249,0.301,,,,
3492,100665,1954,1,PL,TOEI,129,457,71,120,19,1,1,28,28,7.0,62,29,7.0,543.0,144,0.263,0.315,0.354,0.669,0.114,0.053
3493,100665,1955,1,PL,TOEI,119,443,45,105,15,2,2,25,13,13.0,30,22,4.0,491.0,130,0.237,0.293,0.288,0.582,0.061,0.045
3494,100665,1956,1,PL,TOEI,137,521,56,114,17,3,2,21,15,9.0,34,15,11.0,566.0,143,0.219,0.274,0.271,0.545,0.06,0.027
3495,100665,1957,1,PL,TOEI,80,225,20,50,6,0,0,8,3,3.0,18,10,3.0,246.0,56,0.222,0.249,0.289,0.538,0.073,0.041
3496,100665,1958,1,PL,TOEI,7,7,2,1,0,0,0,0,0,0.0,1,2,0.0,8.0,1,0.143,0.143,0.25,0.393,0.125,0.25
3497,100666,1948,1,JBL,KINSEI,15,22,3,3,0,0,2,4,0,0.0,1,3,,,9,0.136,0.409,,,,
3498,100666,1949,1,JBL,DAIEI,37,44,5,9,1,1,1,3,0,0.0,6,15,,,15,0.205,0.341,,,,
3499,100666,1950,1,PL,DAIEI,54,132,13,33,2,0,4,11,0,2.0,6,26,3.0,,47,0.25,0.356,,,,
3500,100666,1951,1,PL,DAIEI,67,195,17,38,3,0,7,22,3,2.0,11,41,7.0,,62,0.195,0.318,,,,
3501,100666,1952,1,PL,DAIEI,27,52,3,8,0,0,0,6,0,0.0,3,14,0.0,,8,0.154,0.154,,,,
3502,100666,1953,1,PL,DAIEI,38,72,2,12,2,2,0,9,1,1.0,9,15,6.0,,18,0.167,0.25,,,,
3503,100666,1954,1,PL,TAKAHASHI,43,59,1,9,1,0,0,1,0,0.0,3,16,0.0,65.0,10,0.153,0.169,0.219,0.388,0.046,0.246
3504,100667,1948,1,JBL,CHUNICHI,27,9,1,3,0,0,0,0,0,0.0,0,3,,,3,0.333,0.333,,,,
3505,100667,1949,1,JBL,CHUNICHI,5,4,1,1,0,0,0,0,0,0.0,0,1,,,1,0.25,0.25,,,,
3506,100667,1950,1,CL,CHUNICHI,6,5,1,0,0,0,0,0,0,0.0,0,1,0.0,,0,0.0,0.0,,,,
3507,100667,1951,1,CL,NAGOYA,18,14,0,4,0,0,0,0,0,1.0,0,0,0.0,,4,0.286,0.286,,,,
3508,100667,1952,1,CL,NAGOYA,3,2,1,0,0,0,0,0,0,0.0,0,1,0.0,,0,0.0,0.0,,,,
3509,100668,1948,1,JBL,OSAKA,21,22,1,1,0,0,0,1,0,0.0,1,10,,,1,0.045,0.045,,,,
3510,100668,1949,1,JBL,OSAKA,37,30,4,9,2,1,0,1,0,0.0,8,8,,,13,0.3,0.433,,,,
3511,100668,1950,1,CL,OSAKA,47,65,11,11,0,0,0,2,1,0.0,12,18,1.0,,11,0.169,0.169,,,,
3512,100668,1951,1,CL,OSAKA,42,53,2,12,0,0,0,1,0,0.0,1,14,1.0,,12,0.226,0.226,,,,
3513,100668,1952,1,CL,OSAKA,35,8,1,0,0,0,0,0,0,0.0,0,1,0.0,,0,0.0,0.0,,,,
3514,100668,1953,1,CL,OSAKA,19,6,3,1,0,0,0,0,0,0.0,0,2,0.0,,1,0.167,0.167,,,,
3515,100668,1954,1,CL,OSAKA,3,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3516,100669,1948,1,JBL,HANKYU,76,187,18,41,4,6,0,15,9,3.0,4,15,,,57,0.219,0.305,,,,
3517,100669,1949,1,JBL,HANKYU,100,322,33,77,10,7,2,31,24,7.0,19,19,,,107,0.239,0.332,,,,
3518,100669,1950,1,PL,HANKYU,120,492,73,139,18,11,2,40,33,10.0,21,23,4.0,,185,0.283,0.376,,,,
3519,100669,1951,1,PL,HANKYU,96,383,52,105,7,5,2,30,44,9.0,23,18,5.0,,128,0.274,0.334,,,,
3520,100669,1952,1,PL,HANKYU,105,419,53,113,17,6,1,41,38,11.0,26,13,2.0,,145,0.27,0.346,,,,
3521,100669,1953,1,PL,HANKYU,116,416,55,112,18,5,4,36,32,7.0,28,16,2.0,,152,0.269,0.365,,,,
3522,100669,1954,1,PL,HANKYU,137,546,86,172,28,8,3,54,42,13.0,49,31,9.0,613.0,225,0.315,0.412,0.372,0.784,0.08,0.051
3523,100669,1955,1,PL,HANKYU,133,498,52,133,14,4,1,45,40,16.0,46,18,6.0,558.0,158,0.267,0.317,0.331,0.648,0.082,0.032
3524,100669,1956,1,PL,HANKYU,24,35,2,8,3,0,0,4,1,0.0,1,1,0.0,37.0,11,0.229,0.314,0.25,0.564,0.027,0.027
3525,100669,1957,1,PL,HANKYU,82,142,17,38,1,2,0,18,7,0.0,17,11,0.0,163.0,43,0.268,0.303,0.346,0.648,0.104,0.067
3526,100669,1958,1,PL,HANKYU,106,322,34,67,6,3,1,38,14,5.0,35,27,7.0,370.0,82,0.208,0.255,0.281,0.535,0.095,0.073
3527,100669,1959,1,PL,HANKYU,65,113,12,22,4,1,1,7,0,2.0,6,15,0.0,122.0,31,0.195,0.274,0.23,0.504,0.049,0.123
3528,100670,1948,1,JBL,CHUNICHI,2,1,0,0,0,0,0,0,0,0.0,0,1,,,0,0.0,0.0,,,,
3529,100670,1949,1,JBL,CHUNICHI,1,0,0,0,0,0,0,0,0,0.0,0,0,,,0,,,,,,
3530,100671,1948,1,JBL,OSAKA,9,10,0,0,0,0,0,0,0,0.0,0,3,,,0,0.0,0.0,,,,
3531,100671,1949,1,JBL,OSAKA,20,21,2,6,1,0,1,1,0,0.0,3,5,,,10,0.286,0.476,,,,
3532,100671,1952,1,PL,DAIEI,4,3,0,0,0,0,0,0,0,0.0,0,1,0.0,,0,0.0,0.0,,,,
3533,100672,1948,1,JBL,OSAKA,2,1,0,0,0,0,0,0,0,0.0,0,0,,,0,0.0,0.0,,,,
3534,100673,1949,1,JBL,DAIEI,121,470,68,128,26,1,26,111,3,2.0,47,84,,,234,0.272,0.498,,,,
3535,100673,1950,1,CL,SHOCHIKU,135,552,86,155,18,1,34,109,6,3.0,53,78,19.0,,277,0.281,0.502,,,,
3536,100673,1951,1,CL,SHOCHIKU,19,66,6,16,5,0,1,10,0,1.0,9,14,1.0,,24,0.242,0.364,,,,
3537,100674,1949,1,JBL,OSAKA,42,80,3,17,0,1,0,4,1,0.0,4,20,,,19,0.212,0.238,,,,
3538,100674,1950,1,PL,MAINICHI,31,56,5,13,3,0,2,8,0,0.0,6,18,3.0,,22,0.232,0.393,,,,
3539,100674,1951,1,PL,MAINICHI,24,46,3,12,3,0,2,8,0,0.0,3,7,1.0,,21,0.261,0.457,,,,
3540,100674,1952,1,PL,MAINICHI,61,72,6,23,7,0,4,16,0,1.0,5,19,3.0,,42,0.319,0.583,,,,
3541,100674,1953,1,PL,MAINICHI,51,72,3,16,2,0,1,5,0,0.0,12,21,1.0,,21,0.222,0.292,,,,
3542,100674,1954,1,PL,MAINICHI,34,35,4,10,1,0,4,10,0,0.0,0,11,1.0,35.0,23,0.286,0.657,0.286,0.943,0.0,0.314
3543,100674,1955,1,PL,MAINICHI,21,19,1,5,1,0,0,1,0,0.0,1,4,1.0,21.0,6,0.263,0.316,0.333,0.649,0.048,0.19
3544,100675,1949,1,JBL,NANKAI,25,76,6,23,3,2,0,8,2,2.0,1,9,,,30,0.303,0.395,,,,
3545,100675,1950,1,PL,NANKAI,45,148,17,40,10,1,2,19,9,5.0,15,8,7.0,,58,0.27,0.392,,,,
3546,100675,1951,1,PL,NANKAI,37,40,3,4,1,0,0,2,1,0.0,4,3,4.0,,5,0.1,0.125,,,,
3547,100675,1952,1,PL,TOKYU,85,286,34,69,13,1,1,21,9,5.0,24,15,4.0,,87,0.241,0.304,,,,
3548,100675,1953,1,PL,TOKYU,90,294,22,60,6,1,0,20,5,5.0,17,21,4.0,,68,0.204,0.231,,,,
3549,100675,1954,1,PL,TOEI,72,148,10,35,3,0,0,12,3,1.0,13,7,7.0,165.0,38,0.236,0.257,0.298,0.555,0.079,0.042
3550,100676,1949,1,JBL,DAIEI,87,203,28,53,5,1,1,13,5,8.0,4,18,,,63,0.261,0.31,,,,
3551,100676,1950,1,CL,SHOCHIKU,26,31,9,8,1,0,0,2,2,2.0,1,7,0.0,,9,0.258,0.29,,,,
3552,100676,1951,1,CL,SHOCHIKU,39,46,6,14,2,1,0,3,3,1.0,6,4,2.0,,18,0.304,0.391,,,,
3553,100676,1952,1,CL,SHOCHIKU,100,341,27,65,8,2,3,29,7,3.0,24,41,9.0,,86,0.191,0.252,,,,
3554,100676,1953,1,CL,YOSHO,87,97,28,17,3,0,1,12,11,3.0,11,15,5.0,,23,0.175,0.237,,,,
3555,100677,1949,1,JBL,DAIEI,4,9,0,1,0,0,0,0,0,0.0,1,1,,,1,0.111,0.111,,,,
3556,100677,1950,1,PL,DAIEI,47,105,8,22,2,0,3,7,0,0.0,2,9,3.0,,33,0.21,0.314,,,,
3557,100677,1951,1,PL,DAIEI,40,103,6,31,7,0,1,11,0,1.0,4,7,3.0,,41,0.301,0.398,,,,
3558,100677,1952,1,PL,DAIEI,40,95,7,22,4,0,3,14,0,0.0,3,5,4.0,,35,0.232,0.368,,,,
3559,100677,1953,1,PL,DAIEI,36,107,6,27,4,1,1,11,1,0.0,5,13,2.0,,36,0.252,0.336,,,,
3560,100677,1954,1,PL,DAIEI,42,101,1,17,3,0,0,4,0,0.0,0,8,4.0,102.0,20,0.168,0.198,0.168,0.366,0.0,0.078
3561,100677,1955,1,PL,DAIEI,45,96,8,27,5,0,0,10,0,0.0,6,14,2.0,104.0,32,0.281,0.333,0.324,0.657,0.058,0.135
3562,100677,1956,1,PL,DAIEI,25,38,3,11,0,0,0,4,0,0.0,1,2,0.0,42.0,11,0.289,0.289,0.308,0.597,0.024,0.048
3563,100677,1957,1,PL,HANKYU,21,17,0,2,0,0,0,0,0,0.0,1,4,1.0,18.0,2,0.118,0.118,0.167,0.284,0.056,0.222
